R,B,tau,T,beta_n
6.9344842e+00,4.5931781e+00,4.5931781e+00,1.0346049e+01,1.9000000e+00
6.6859690e+00,4.7082635e+00,4.7082635e+00,1.0279026e+01,1.9100000e+00
6.4475886e+00,4.8256087e+00,4.8256087e+00,1.0212784e+01,1.9200000e+00
6.2188802e+00,4.9452461e+00,4.9452461e+00,1.0147309e+01,1.9300000e+00
5.9994042e+00,5.0672082e+00,5.0672082e+00,1.0082589e+01,1.9400000e+00
5.7887432e+00,5.1915279e+00,5.1915279e+00,1.0018612e+01,1.9500000e+00
5.5865005e+00,5.3182383e+00,5.3182383e+00,9.9553648e+00,1.9600000e+00
5.3922995e+00,5.4473727e+00,5.4473727e+00,9.8928357e+00,1.9700000e+00
5.2057819e+00,5.5789650e+00,5.5789650e+00,9.8310130e+00,1.9800000e+00
5.0266072e+00,5.7130491e+00,5.7130491e+00,9.7698851e+00,1.9900000e+00
4.8544516e+00,5.8496594e+00,5.8496594e+00,9.7094410e+00,2.0000000e+00
4.6890071e+00,5.9888304e+00,5.9888304e+00,9.6496694e+00,2.0100000e+00
4.5299806e+00,6.1305970e+00,6.1305970e+00,9.5905597e+00,2.0200000e+00
4.3770932e+00,6.2749945e+00,6.2749945e+00,9.5321013e+00,2.0300000e+00
4.2300793e+00,6.4220583e+00,6.4220583e+00,9.4742839e+00,2.0400000e+00
4.0886862e+00,6.5718243e+00,6.5718243e+00,9.4170973e+00,2.0500000e+00
3.9526731e+00,6.7243285e+00,6.7243285e+00,9.3605317e+00,2.0600000e+00
3.8218107e+00,6.8796074e+00,6.8796074e+00,9.3045773e+00,2.0700000e+00
3.6958805e+00,7.0376977e+00,7.0376977e+00,9.2492247e+00,2.0800000e+00
3.5746740e+00,7.1986363e+00,7.1986363e+00,9.1944644e+00,2.0900000e+00
3.4579929e+00,7.3624607e+00,7.3624607e+00,9.1402875e+00,2.1000000e+00
