R,B,tau,T,beta_n
8.7866312,3.8459808,5.2871901e+00,1.0331126e+01,1.9000000
8.4717395,3.9423446,5.0055317e+00,1.0264199e+01,1.9100000
8.1696896,4.0406006,4.7402327e+00,1.0198053e+01,1.9200000
7.8798950,4.1407760,4.4902650e+00,1.0132672e+01,1.9300000
7.6017986,4.2428978,4.2546699e+00,1.0068046e+01,1.9400000
7.3348716,4.3469938,4.0325532e+00,1.0004161e+01,1.9500000
7.0786116,4.4530914,3.8230806e+00,9.9410052e+00,1.9600000
6.8325409,4.5612189,3.6254731e+00,9.8785663e+00,1.9700000
6.5962059,4.6714043,3.4390037e+00,9.8168327e+00,1.9800000
6.3691751,4.7836763,3.2629928e+00,9.7557930e+00,1.9900000
6.1510381,4.8980634,3.0968057e+00,9.6954360e+00,2.0000000
5.9414046,5.0145947,2.9398490e+00,9.6357507e+00,2.0100000
5.7399034,5.1332993,2.7915679e+00,9.5767262e+00,2.0200000
5.5461809,5.2542069,2.6514435e+00,9.5183522e+00,2.0300000
5.3599007,5.3773470,2.5189900e+00,9.4606181e+00,2.0400000
5.1807426,5.5027498,2.3937531e+00,9.4035141e+00,2.0500000
5.0084015,5.6304453,2.2753072e+00,9.3470300e+00,2.0600000
4.8425868,5.7604641,2.1632537e+00,9.2911564e+00,2.0700000
4.6830215,5.8928370,2.0572191e+00,9.2358836e+00,2.0800000
4.5294418,6.0275949,1.9568537e+00,9.1812023e+00,2.0900000
4.3815961,6.1647690,1.8618292e+00,9.1271035e+00,2.1000000
