# Time-averaged data for fix myat1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11]
50000 200
76 5.6625 3.55195 0.189219 4.41134 6.37418 4.9494 0.951458 1.01103 3.41691 0.40672 1.12768
77 5.7375 4.63872 0.204833 4.36355 6.56169 4.86781 0.968193 1.01181 3.58938 0.415261 1.19846
78 5.8125 5.26454 0.223021 4.35725 6.75386 4.86701 0.985365 0.985898 3.76185 0.426493 1.27307
79 5.8875 4.61109 0.239365 4.3045 6.94863 4.64883 1.00219 1.01738 3.94446 0.432274 1.35066
80 5.9625 4.98294 0.257479 4.40922 7.15326 4.74305 1.0198 0.995088 4.12764 0.440778 1.4318
81 6.0375 4.36805 0.27376 4.37107 7.36124 4.32493 1.03627 0.981474 4.31289 0.45283 1.51727
82 6.1125 4.62959 0.291448 4.36741 7.57426 3.98986 1.05183 0.925258 4.4919 0.466126 1.60745
83 6.1875 4.02047 0.307188 4.39713 7.79401 3.46644 1.06569 0.915995 4.67348 0.485792 1.70375
84 6.2625 4.24943 0.324229 4.3308 8.01573 3.21732 1.07887 0.88698 4.85361 0.504814 1.80627
85 6.3375 4.95093 0.344562 4.31751 8.24209 3.07085 1.09175 0.858247 5.0321 0.525222 1.9155
86 6.4125 5.12317 0.366104 4.12153 8.46333 3.02369 1.10473 0.853063 5.21373 0.541089 2.03071
87 6.4875 5.86465 0.391344 4.06063 8.68642 2.8973 1.11747 0.883115 5.40619 0.550091 2.15059
88 6.5625 6.70355 0.420865 3.83819 8.9022 2.88936 1.13046 0.880889 5.60263 0.561135 2.27572
89 6.6375 8.36109 0.458531 3.68673 9.11422 2.66142 1.14271 0.881552 5.80373 0.573249 2.4065
90 6.7125 9.23338 0.501073 3.53919 9.32239 2.63992 1.15513 0.897636 6.01316 0.583675 2.54267
91 6.7875 9.58547 0.546229 3.49042 9.5323 2.68907 1.16807 0.937076 6.2367 0.591349 2.68374
92 6.8625 8.78656 0.588542 3.34685 9.73805 3.03516 1.18299 1.03057 6.48801 0.596477 2.82919
93 6.9375 7.60916 0.62599 3.35662 9.94894 3.52118 1.20069 1.08496 6.7584 0.599954 2.97871
94 7.0125 7.3727 0.663063 3.40724 10.1677 3.76168 1.22001 1.15186 7.05169 0.608873 3.13375
95 7.0875 7.16476 0.699865 3.45362 10.3941 4.39635 1.24307 1.19819 7.36335 0.615299 3.29379
